distance,source,target
8.465193432521197,Gl-570A,Gl-628
3.9900330324447184,Gl-570A,Gl-555
5.382507416622851,Gl-570A,Gl-581
7.149960035552648,Gl-570B,Gl-588
2.764018728228881,Gl-570B,NN-3877
9.990168395978118,Gl-570B,Gl-663B
9.990059988808875,Gl-570B,Gl-663A
0.0016673332000533628,Gl-570B,Gl-570A
0.0,Gl-570B,Gl-570B
8.465798284273019,Gl-570B,Gl-628
3.9885079591245636,Gl-570B,Gl-555
5.381947836053411,Gl-570B,Gl-581
4.488812267181598,Gl-185A,Gl-216A
4.484533733845695,Gl-185A,Gl-216B
8.839070845965654,Gl-185A,Gl-229
0.0,Gl-185A,Gl-185A
8.517302048184039,Gl-185A,Gl-183
9.468268682288226,Gl-185A,Gl-223.2
9.517017706718844,Gl-185A,Gl-205
6.117491611763763,Gl-867B,Gl-879
8.227788326154242,Gl-867B,Gl-881
3.8062441671548086,Gl-867B,Gl-884
0.0,Gl-867B,Gl-867B
0.0,Gl-867B,Gl-867A
4.505541939656096,Gl-867B,NN-4274
9.469963884302832,Gl-867B,Gl-831A
7.079464023497825,Gl-867B,GJ-1276
8.628492822040242,Gl-867B,Gl-849
6.117491611763763,Gl-867A,Gl-879
8.227788326154242,Gl-867A,Gl-881
3.8062441671548086,Gl-867A,Gl-884
0.0,Gl-867A,Gl-867B
0.0,Gl-867A,Gl-867A
4.505541939656096,Gl-867A,NN-4274
9.469963884302832,Gl-867A,Gl-831A
7.079464023497825,Gl-867A,GJ-1276
8.628492822040242,Gl-867A,Gl-849
0.0,Gl-595,Gl-595
0.0,Gl-506,Gl-506
6.453786610974987,Gl-506,Gl-465
8.44610298421704,Gl-506,NN-3707
6.453786610974987,Gl-465,Gl-506
0.0,Gl-465,Gl-465
2.4014105313336156,Gl-465,NN-3707
9.478520649341858,Gl-465,GJ-1154AB
8.56742886109946,Gl-65A,Sun
9.572364655611485,Gl-65A,Gl-845
9.910259064726814,Gl-65A,Gl-191
8.69346216302803,Gl-65A,GJ-1061
8.226768757537798,Gl-65A,Gl-1
7.118575102504713,Gl-65A,Gl-887
0.0,Gl-65A,Gl-65A
3.8034315887103842,Gl-65A,Gl-54.1
9.688612372780737,Gl-65A,GJ-1005AB
2.86643197547055,Gl-65A,Gl-71
7.600893196197405,Gl-65A,Gl-866AB
5.224006050915332,Gl-65A,Gl-144
8.352268995309,Gl-65A,GJ-1002
7.493309385044768,Gl-65A,Gl-35
8.533717865619884,Gl-65A,Gl-83.1
0.0,Gl-84,Gl-84
6.800388757269691,Gl-84,NN-3192A
5.954884235650598,Gl-84,Gl-117
6.963948504261071,NN-4274,Gl-879
6.478066187528497,NN-4274,Gl-881
4.478063899722736,NN-4274,Gl-884
4.505541939656096,NN-4274,Gl-867B
4.505541939656096,NN-4274,Gl-867A
0.0,NN-4274,NN-4274
9.286192494774163,NN-4274,Gl-876
6.682339677089154,NN-4274,Gl-831A
6.106738182532473,NN-4274,GJ-1276
7.425067716189529,NN-4274,Gl-849
