#Name,x-pos,y-pos,z-pos,dist,bright,temp
Gl-836.3,47.5786,0.3809,54.6772,72.4807,0.1271,4648.7071
Gl-358,-0.8806,-33.0275,-5.0193,33.4184,0.0046,3748.9340
Gl-431,9.6161,-31.1810,-11.4715,34.5878,0.0024,3734.3173
Gl-268.4,-20.9244,-66.5921,16.3187,71.6843,0.0955,5742.1289
Gl-893.3A,26.9651,-3.8700,61.7902,67.5286,0.0087,4996.4158
NN-4198,35.9731,0.7996,38.3769,52.6070,0.0011,3621.5071
GJ-1001,8.1516,-3.7300,29.9905,31.3017,0.0006,3607.9005
Gl-442A,10.6554,-29.5579,-11.8790,33.5905,1.0093,5742.1289
Gl-351A,-2.8270,-50.2412,-6.9931,50.8043,6.0814,7100.6678
Gl-545.1,50.8391,-41.2849,-22.9523,69.3965,0.0973,4514.7926
Gl-488.1,30.5754,-46.4646,-23.2583,60.2890,8.8716,8086.4136
Gl-312,-10.0001,-55.3363,-0.5242,56.2351,0.6194,5967.5435
NN-3764,28.9733,-38.9761,-20.2215,52.6070,0.0017,3649.0419
Gl-296,-15.1995,-59.3617,5.6886,61.5403,0.0425,4051.1958
Gl-304,-11.7697,-53.6095,1.6012,54.9097,0.3342,5567.7287
Gl-646A,43.2890,-10.9617,-1.4818,44.6799,0.0649,4388.7408
NN-4141,58.4965,1.5827,37.3031,69.3965,0.3076,5106.1369
Gl-620.1B,39.3449,-13.1406,-5.2789,41.8158,0.011612292.5194
Gl-620.1A,39.3688,-13.0806,-5.2498,41.8158,1.0000,5852.5094
NN-4377,18.9834,-5.6314,66.5116,69.3965,0.2051,4840.8754
Gl-629,55.1954,-17.1233,-6.3624,58.1396,0.3532,5106.1369
Gl-320,-6.2155,-33.4122,-1.3139,34.0108,0.2249,4917.3447
Gl-825,9.0054,0.6184,8.8091,12.6127,0.0281,3934.0981
NN-3207,-13.1976,-26.7121,48.8529,57.2216,0.0066,3778.5271
Gl-732A,41.4587,-1.6596,12.6340,43.3728,0.0013,3748.9340
NN-3737,10.7534,-18.4567,-9.7119,23.4650,0.0004,3528.4343
Gl-152,-15.6611,-28.6437,42.3467,53.4694,0.3733,5050.6447
Gl-130,-13.1507,-25.1045,46.3885,54.3606,0.0060,3705.4360
Gl-599B,39.8534,-16.7777,-9.9722,44.3760,0.0016,7276.3785
Gl-599A,39.8534,-16.7777,-9.9722,44.3760,0.6368,5534.1967
